iter	RMSE
0	0.2350720872
1	0.2304360359
2	0.2256232146
3	0.2210546254
4	0.2167391621
5	0.2127678809
6	0.2095313843
7	0.2063117712
8	0.2035007638
9	0.2003906728
10	0.197811091
11	0.1950056905
12	0.1923111569
13	0.190051274
14	0.1876332269
15	0.1857133803
16	0.1836485757
17	0.1816161206
18	0.1799225321
19	0.1780555965
20	0.1766445517
21	0.1750717272
22	0.1734361789
23	0.1718536683
24	0.17032853
25	0.1689920477
26	0.1674735638
27	0.1659562494
28	0.1650153303
29	0.1637640188
30	0.1622575328
31	0.1609660457
32	0.1598270462
33	0.1586257242
34	0.1573722353
35	0.1564831369
36	0.1553444268
37	0.1545326948
38	0.1534557687
39	0.1524452248
40	0.1515208503
41	0.1506191289
42	0.1494693432
43	0.1485753611
44	0.1479112321
45	0.1470381436
46	0.1462716995
47	0.1456882503
48	0.1450359719
49	0.1442817218
50	0.1434752613
51	0.1427473807
52	0.1420549714
53	0.1411583389
54	0.1404833857
55	0.1398977469
56	0.1390126051
57	0.1386045332
58	0.1378973117
59	0.1372878049
60	0.1365875986
61	0.1360869421
62	0.1355247928
63	0.1349045681
64	0.1343801142
65	0.1340534374
66	0.1336998201
67	0.1330672455
68	0.1326076263
69	0.1321912351
70	0.1318253784
71	0.1313813317
72	0.130975456
73	0.1305770374
74	0.1301617124
75	0.1298104082
76	0.1291279903
77	0.1284681804
78	0.1280875573
79	0.127726107
80	0.1272812639
81	0.1268652985
82	0.1264500078
83	0.1261534437
84	0.1259162752
85	0.1255644138
86	0.1252894798
87	0.124572451
88	0.1243894958
89	0.1239102247
90	0.1236703333
91	0.1230198693
92	0.1226837877
93	0.1223461934
94	0.1220099592
95	0.1215544858
96	0.1210501187
97	0.1206678023
98	0.1204679271
99	0.1200328162
100	0.1195943137
101	0.1191650481
102	0.1189159707
103	0.118592616
104	0.1182277375
105	0.1178494534
106	0.117462348
107	0.117016826
108	0.1167728827
109	0.1165321718
110	0.1160217449
111	0.1158638319
112	0.1155496632
113	0.1150842121
114	0.1149082785
115	0.11433816
116	0.1138078849
117	0.1131874726
118	0.1130567081
119	0.1127636923
120	0.1124975062
121	0.1118373271
122	0.1115876336
123	0.1114582203
124	0.1113060226
125	0.1110786121
126	0.110839916
127	0.1104756924
128	0.1102207353
129	0.1098471651
130	0.109472983
131	0.1092151073
132	0.1088882118
133	0.1087005502
134	0.1084115642
135	0.1081262693
136	0.1078653462
137	0.107723156
138	0.1074188981
139	0.1071131155
140	0.1068987134
141	0.1067040361
142	0.1064049272
143	0.1059793228
144	0.1058753979
145	0.1053260891
146	0.1049305067
147	0.1047336308
148	0.1045559034
149	0.1040875328
150	0.1038752156
151	0.103597177
152	0.1033423985
153	0.1030359972
154	0.1026217974
155	0.1023690537
156	0.1019747328
157	0.1018172178
158	0.1016188548
159	0.1012970823
160	0.10093252
161	0.1006564484
162	0.1005518278
163	0.1000548334
164	0.09973919998
165	0.09951171661
166	0.09924887318
167	0.09898837759
168	0.09860822239
169	0.09807648632
170	0.09749900251
171	0.09722954353
172	0.09677219384
173	0.09631413288
174	0.09594715688
175	0.09582672259
176	0.09571832037
177	0.0955612798
178	0.09550160152
179	0.09516976573
180	0.09507099873
181	0.0946868351
182	0.09428620533
183	0.09394900011
184	0.09373723582
185	0.09363934716
186	0.09342951482
187	0.09309547787
188	0.09278354218
189	0.09215630314
190	0.09181191699
191	0.09138010517
192	0.09129779497
193	0.09112899695
194	0.09085051416
195	0.09047426993
196	0.09031302823
197	0.09000540035
198	0.08980688258
199	0.08944140439
